Date,Description,Amount,Balance
11/07/2021 05:47PM,Palladium,-1,99
11/06/2021 05:58PM,Palladium,-3,100
11/05/2021 11:04AM,KMP,-1,103
11/04/2021 07:34PM,Palladium,-1,104
11/04/2021 07:18PM,Palladium,-2,105
11/04/2021 01:51PM,370 Jay St Coffee,-1,107
11/04/2021 01:51PM,370 Jay St Coffee,-1,108
11/03/2021 04:13PM,Palladium,-1,109
11/03/2021 09:19AM,Dunkin Donuts,-1,110
11/02/2021 07:06PM,Breakfst & Co.,-2,111
11/01/2021 05:57PM,Palladium,-3,113
11/01/2021 11:32AM,KMP,-1,116
10/31/2021 12:55PM,Palladium,-1,117
10/30/2021 07:25PM,Palladium,-1,118
10/29/2021 06:27PM,Palladium,-1,119
10/29/2021 11:05AM,KMP,-1,120
10/28/2021 07:21PM,Breakfst & Co.,-1,121
10/28/2021 01:52PM,370 Jay St Coffee,-1,122
10/27/2021 06:10PM,Palladium,-1,123
10/27/2021 11:31AM,Lipton,-1,124
10/26/2021 07:03PM,Palladium,-1,125
10/26/2021 01:34PM,Jasper Kane,-1,126
10/25/2021 05:59PM,Palladium,-1,127
10/24/2021 06:01PM,Palladium,-1,128
10/23/2021 06:07PM,Breakfst & Co.,-1,129
10/23/2021 12:17PM,Palladium,-1,130
10/22/2021 05:29PM,Palladium,-1,131
10/22/2021 11:51AM,Sidestein,-1,132
10/22/2021 11:04AM,Lipton,-1,133
10/21/2021 07:07PM,Palladium,-1,134
10/21/2021 01:49PM,Jasper Kane,-1,135
10/20/2021 05:54PM,Palladium,-1,136
10/19/2021 07:15PM,Breakfst & Co.,-1,137
10/19/2021 01:52PM,370 Jay St Coffee,-1,138
10/18/2021 06:10PM,Palladium,-1,139
10/18/2021 11:52AM,KMP,-1,140
10/18/2021 09:25AM,Peet's,-1,141
10/17/2021 07:27PM,Palladium,-1,142
10/16/2021 06:45PM,Palladium,-1,143
10/16/2021 01:04PM,Palladium,-1,144
